pair,task,method,n,specialist_accuracy,merged_accuracy,accuracy_delta
imdb+mrpc,imdb,mean,500,0.77,0.718,-0.052000000000000046
imdb+mrpc,imdb,ties,500,0.77,0.752,-0.018000000000000016
imdb+mrpc,mrpc,mean,408,0.75,0.7009803921568627,-0.0490196078431373
imdb+mrpc,mrpc,ties,408,0.75,0.7083333333333334,-0.04166666666666663
imdb+rte,imdb,mean,500,0.77,0.642,-0.128
imdb+rte,imdb,ties,500,0.77,0.634,-0.136
imdb+rte,rte,mean,277,0.6064981949458483,0.555956678700361,-0.050541516245487306
imdb+rte,rte,ties,277,0.6064981949458483,0.51985559566787,-0.08664259927797835
mrpc+rte,mrpc,mean,408,0.75,0.7254901960784313,-0.02450980392156865
mrpc+rte,mrpc,ties,408,0.75,0.7401960784313726,-0.009803921568627416
mrpc+rte,rte,mean,277,0.6064981949458483,0.5342960288808665,-0.07220216606498187
mrpc+rte,rte,ties,277,0.6064981949458483,0.5523465703971119,-0.054151624548736454
sst2+imdb,imdb,mean,500,0.77,0.748,-0.02200000000000002
sst2+imdb,imdb,ties,500,0.77,0.756,-0.014000000000000012
sst2+imdb,sst2,mean,500,0.772,0.76,-0.01200000000000001
sst2+imdb,sst2,ties,500,0.772,0.738,-0.03400000000000003
sst2+mrpc,mrpc,mean,408,0.75,0.7083333333333334,-0.04166666666666663
sst2+mrpc,mrpc,ties,408,0.75,0.7279411764705882,-0.022058823529411797
sst2+mrpc,sst2,mean,500,0.772,0.72,-0.052000000000000046
sst2+mrpc,sst2,ties,500,0.772,0.746,-0.026000000000000023
sst2+rte,rte,mean,277,0.6064981949458483,0.6209386281588448,0.014440433212996484
sst2+rte,rte,ties,277,0.6064981949458483,0.5812274368231047,-0.025270758122743597
sst2+rte,sst2,mean,500,0.772,0.6,-0.17200000000000004
sst2+rte,sst2,ties,500,0.772,0.644,-0.128
