pair,task,method,transition,count,rate
imdb+mrpc,imdb,mean,merge_gain,32,0.064
imdb+mrpc,imdb,mean,merge_loss,58,0.116
imdb+mrpc,imdb,mean,preserved_correct,327,0.654
imdb+mrpc,imdb,mean,shared_failure,83,0.166
imdb+mrpc,imdb,ties,merge_gain,21,0.042
imdb+mrpc,imdb,ties,merge_loss,30,0.06
imdb+mrpc,imdb,ties,preserved_correct,355,0.71
imdb+mrpc,imdb,ties,shared_failure,94,0.188
imdb+mrpc,mrpc,mean,merge_gain,19,0.04656862745098039
imdb+mrpc,mrpc,mean,merge_loss,39,0.09558823529411764
imdb+mrpc,mrpc,mean,preserved_correct,267,0.6544117647058824
imdb+mrpc,mrpc,mean,shared_failure,83,0.2034313725490196
imdb+mrpc,mrpc,ties,merge_gain,17,0.041666666666666664
imdb+mrpc,mrpc,ties,merge_loss,34,0.08333333333333333
imdb+mrpc,mrpc,ties,preserved_correct,272,0.6666666666666666
imdb+mrpc,mrpc,ties,shared_failure,85,0.20833333333333334
imdb+rte,imdb,mean,merge_gain,40,0.08
imdb+rte,imdb,mean,merge_loss,104,0.208
imdb+rte,imdb,mean,preserved_correct,281,0.562
imdb+rte,imdb,mean,shared_failure,75,0.15
imdb+rte,imdb,ties,merge_gain,48,0.096
imdb+rte,imdb,ties,merge_loss,116,0.232
imdb+rte,imdb,ties,preserved_correct,269,0.538
imdb+rte,imdb,ties,shared_failure,67,0.134
imdb+rte,rte,mean,merge_gain,58,0.20938628158844766
imdb+rte,rte,mean,merge_loss,72,0.259927797833935
imdb+rte,rte,mean,preserved_correct,96,0.34657039711191334
imdb+rte,rte,mean,shared_failure,51,0.18411552346570398
imdb+rte,rte,ties,merge_gain,69,0.2490974729241877
imdb+rte,rte,ties,merge_loss,93,0.33574007220216606
imdb+rte,rte,ties,preserved_correct,75,0.27075812274368233
imdb+rte,rte,ties,shared_failure,40,0.1444043321299639
mrpc+rte,mrpc,mean,merge_gain,19,0.04656862745098039
mrpc+rte,mrpc,mean,merge_loss,29,0.07107843137254902
mrpc+rte,mrpc,mean,preserved_correct,277,0.678921568627451
mrpc+rte,mrpc,mean,shared_failure,83,0.2034313725490196
mrpc+rte,mrpc,ties,merge_gain,16,0.0392156862745098
mrpc+rte,mrpc,ties,merge_loss,20,0.049019607843137254
mrpc+rte,mrpc,ties,preserved_correct,286,0.7009803921568627
mrpc+rte,mrpc,ties,shared_failure,86,0.2107843137254902
mrpc+rte,rte,mean,merge_gain,57,0.20577617328519857
mrpc+rte,rte,mean,merge_loss,77,0.2779783393501805
mrpc+rte,rte,mean,preserved_correct,91,0.3285198555956679
mrpc+rte,rte,mean,shared_failure,52,0.18772563176895307
mrpc+rte,rte,ties,merge_gain,59,0.21299638989169675
mrpc+rte,rte,ties,merge_loss,74,0.26714801444043323
mrpc+rte,rte,ties,preserved_correct,94,0.33935018050541516
mrpc+rte,rte,ties,shared_failure,50,0.18050541516245489
sst2+imdb,imdb,mean,merge_gain,25,0.05
sst2+imdb,imdb,mean,merge_loss,36,0.072
sst2+imdb,imdb,mean,preserved_correct,349,0.698
sst2+imdb,imdb,mean,shared_failure,90,0.18
sst2+imdb,imdb,ties,merge_gain,14,0.028
sst2+imdb,imdb,ties,merge_loss,21,0.042
sst2+imdb,imdb,ties,preserved_correct,364,0.728
sst2+imdb,imdb,ties,shared_failure,101,0.202
sst2+imdb,sst2,mean,merge_gain,26,0.052
sst2+imdb,sst2,mean,merge_loss,32,0.064
sst2+imdb,sst2,mean,preserved_correct,354,0.708
sst2+imdb,sst2,mean,shared_failure,88,0.176
sst2+imdb,sst2,ties,merge_gain,32,0.064
sst2+imdb,sst2,ties,merge_loss,49,0.098
sst2+imdb,sst2,ties,preserved_correct,337,0.674
sst2+imdb,sst2,ties,shared_failure,82,0.164
sst2+mrpc,mrpc,mean,merge_gain,18,0.04411764705882353
sst2+mrpc,mrpc,mean,merge_loss,35,0.0857843137254902
sst2+mrpc,mrpc,mean,preserved_correct,271,0.6642156862745098
sst2+mrpc,mrpc,mean,shared_failure,84,0.20588235294117646
sst2+mrpc,mrpc,ties,merge_gain,16,0.0392156862745098
sst2+mrpc,mrpc,ties,merge_loss,25,0.061274509803921566
sst2+mrpc,mrpc,ties,preserved_correct,281,0.6887254901960784
sst2+mrpc,mrpc,ties,shared_failure,86,0.2107843137254902
sst2+mrpc,sst2,mean,merge_gain,29,0.058
sst2+mrpc,sst2,mean,merge_loss,55,0.11
sst2+mrpc,sst2,mean,preserved_correct,331,0.662
sst2+mrpc,sst2,mean,shared_failure,85,0.17
sst2+mrpc,sst2,ties,merge_gain,20,0.04
sst2+mrpc,sst2,ties,merge_loss,33,0.066
sst2+mrpc,sst2,ties,preserved_correct,353,0.706
sst2+mrpc,sst2,ties,shared_failure,94,0.188
sst2+rte,rte,mean,merge_gain,35,0.1263537906137184
sst2+rte,rte,mean,merge_loss,31,0.11191335740072202
sst2+rte,rte,mean,preserved_correct,137,0.49458483754512633
sst2+rte,rte,mean,shared_failure,74,0.26714801444043323
sst2+rte,rte,ties,merge_gain,33,0.11913357400722022
sst2+rte,rte,ties,merge_loss,40,0.1444043321299639
sst2+rte,rte,ties,preserved_correct,128,0.4620938628158845
sst2+rte,rte,ties,shared_failure,76,0.2743682310469314
sst2+rte,sst2,mean,merge_gain,68,0.136
sst2+rte,sst2,mean,merge_loss,154,0.308
sst2+rte,sst2,mean,preserved_correct,232,0.464
sst2+rte,sst2,mean,shared_failure,46,0.092
sst2+rte,sst2,ties,merge_gain,64,0.128
sst2+rte,sst2,ties,merge_loss,128,0.256
sst2+rte,sst2,ties,preserved_correct,258,0.516
sst2+rte,sst2,ties,shared_failure,50,0.1
