phase,seed,pair,task,method,early_factor,primary_metric,score,specialist_score,retained
development,42,sst2+imdb,sst2,mean,1.0,accuracy,0.7477064220183486,0.7752293577981652,0.9644970414201183
development,42,sst2+imdb,imdb,mean,1.0,accuracy,0.749,0.7725,0.96957928802589
development,42,sst2+imdb,sst2,adaptive_mean,0.25,accuracy,0.6811926605504587,0.7752293577981652,0.8786982248520709
development,42,sst2+imdb,imdb,adaptive_mean,0.25,accuracy,0.7275,0.7725,0.9417475728155341
development,42,sst2+imdb,sst2,adaptive_mean,0.5,accuracy,0.7224770642201835,0.7752293577981652,0.9319526627218936
development,42,sst2+imdb,imdb,adaptive_mean,0.5,accuracy,0.733,0.7725,0.9488673139158577
development,42,sst2+imdb,sst2,adaptive_mean,0.75,accuracy,0.7327981651376146,0.7752293577981652,0.945266272189349
development,42,sst2+imdb,imdb,adaptive_mean,0.75,accuracy,0.7425,0.7725,0.9611650485436894
development,42,sst2+imdb,sst2,adaptive_mean,1.0,accuracy,0.7477064220183486,0.7752293577981652,0.9644970414201183
development,42,sst2+imdb,imdb,adaptive_mean,1.0,accuracy,0.749,0.7725,0.96957928802589
development,42,sst2+imdb,sst2,ties,1.0,accuracy,0.7305045871559633,0.7752293577981652,0.9423076923076923
development,42,sst2+imdb,imdb,ties,1.0,accuracy,0.7605,0.7725,0.9844660194174757
development,42,sst2+imdb,sst2,adaptive_ties,0.25,accuracy,0.6674311926605505,0.7752293577981652,0.8609467455621302
development,42,sst2+imdb,imdb,adaptive_ties,0.25,accuracy,0.7195,0.7725,0.9313915857605178
development,42,sst2+imdb,sst2,adaptive_ties,0.5,accuracy,0.6938073394495413,0.7752293577981652,0.8949704142011835
development,42,sst2+imdb,imdb,adaptive_ties,0.5,accuracy,0.7395,0.7725,0.9572815533980583
development,42,sst2+imdb,sst2,adaptive_ties,0.75,accuracy,0.7155963302752294,0.7752293577981652,0.9230769230769231
development,42,sst2+imdb,imdb,adaptive_ties,0.75,accuracy,0.7495,0.7725,0.9702265372168286
development,42,sst2+imdb,sst2,adaptive_ties,1.0,accuracy,0.7305045871559633,0.7752293577981652,0.9423076923076923
development,42,sst2+imdb,imdb,adaptive_ties,1.0,accuracy,0.7605,0.7725,0.9844660194174757
development,42,sst2+mrpc,sst2,mean,1.0,accuracy,0.7075688073394495,0.7752293577981652,0.9127218934911242
