seed,pair,method,early_factor,mean_retained,worst_retained
7,imdb+mrpc,adaptive_mean,1.0,0.956008521699785,0.9339263024142312
7,imdb+mrpc,adaptive_ties,1.0,0.9772147767445422,0.975395245992261
7,imdb+mrpc,mean,1.0,0.956008521699785,0.9339263024142312
7,imdb+mrpc,ties,1.0,0.9772147767445422,0.975395245992261
7,imdb+rte,adaptive_mean,1.0,0.8820184051441993,0.8606060606060605
7,imdb+rte,adaptive_ties,1.0,0.8923549343498518,0.8666666666666667
7,imdb+rte,mean,1.0,0.8820184051441993,0.8606060606060605
7,imdb+rte,ties,1.0,0.8923549343498518,0.8666666666666667
7,mrpc+rte,adaptive_mean,1.0,0.9216584602759399,0.8666666666666667
7,mrpc+rte,adaptive_ties,1.0,0.92709156239007,0.8787878787878788
7,mrpc+rte,mean,1.0,0.9216584602759399,0.8666666666666667
7,mrpc+rte,ties,1.0,0.92709156239007,0.8787878787878788
7,sst2+imdb,adaptive_mean,1.0,0.9754641658290504,0.9733163913595934
7,sst2+imdb,adaptive_ties,1.0,0.9789887917464772,0.97141041931385
7,sst2+imdb,mean,1.0,0.9754641658290504,0.9733163913595934
7,sst2+imdb,ties,1.0,0.9789887917464772,0.97141041931385
7,sst2+mrpc,adaptive_mean,1.0,0.9481925082235003,0.9164179104477612
7,sst2+mrpc,adaptive_ties,1.0,0.9777100148802813,0.9716417910447761
7,sst2+mrpc,mean,1.0,0.9481925082235003,0.9164179104477612
7,sst2+mrpc,ties,1.0,0.9777100148802813,0.9716417910447761
7,sst2+rte,adaptive_mean,1.0,0.900768882858435,0.8985074626865672
7,sst2+rte,adaptive_ties,1.0,0.8826775214834917,0.8787878787878788
7,sst2+rte,mean,1.0,0.900768882858435,0.8985074626865672
7,sst2+rte,ties,1.0,0.8826775214834917,0.8787878787878788
123,imdb+mrpc,adaptive_mean,1.0,0.91691241778926,0.8473380372033354
123,imdb+mrpc,adaptive_ties,1.0,0.9539865588273054,0.9211032713277743
123,imdb+mrpc,mean,1.0,0.91691241778926,0.8473380372033354
123,imdb+mrpc,ties,1.0,0.9539865588273054,0.9211032713277743
123,imdb+rte,adaptive_mean,1.0,0.9004627508476131,0.8723540731237974
123,imdb+rte,adaptive_ties,1.0,0.8943061028131587,0.8392857142857144
123,imdb+rte,mean,1.0,0.9004627508476131,0.8723540731237974
123,imdb+rte,ties,1.0,0.8943061028131587,0.8392857142857144
123,mrpc+rte,adaptive_mean,1.0,0.9206814918974198,0.8571428571428571
123,mrpc+rte,adaptive_ties,1.0,0.9150633550995025,0.8333333333333334
123,mrpc+rte,mean,1.0,0.9206814918974198,0.8571428571428571
123,mrpc+rte,ties,1.0,0.9150633550995025,0.8333333333333334
123,sst2+imdb,adaptive_mean,1.0,0.9821458750235258,0.9717767799871713
123,sst2+imdb,adaptive_ties,1.0,0.9838570133626269,0.9692110327132777
123,sst2+imdb,mean,1.0,0.9821458750235258,0.9717767799871713
123,sst2+imdb,ties,1.0,0.9838570133626269,0.9692110327132777
123,sst2+mrpc,adaptive_mean,1.0,0.9255151283649219,0.8607784431137725
123,sst2+mrpc,adaptive_ties,1.0,0.9675893438816812,0.9416167664670659
123,sst2+mrpc,mean,1.0,0.9255151283649219,0.8607784431137725
123,sst2+mrpc,ties,1.0,0.9675893438816812,0.9416167664670659
123,sst2+rte,adaptive_mean,1.0,0.8744831765041345,0.8263473053892215
123,sst2+rte,adaptive_ties,1.0,0.8910571713715427,0.886904761904762
123,sst2+rte,mean,1.0,0.8744831765041345,0.8263473053892215
123,sst2+rte,ties,1.0,0.8910571713715427,0.886904761904762
