pair,task_a,task_b,scope,cosine_similarity,norm_a,norm_b,parameter_tensors
sst2+imdb,sst2,imdb,embeddings,0.13349951803684235,0.43240490555763245,0.6155460476875305,5
sst2+imdb,sst2,imdb,early,0.38168975710868835,0.6605899930000305,0.6658462285995483,32
sst2+imdb,sst2,imdb,late,0.4610292315483093,0.8841739892959595,0.8684309124946594,34
sst2+imdb,sst2,imdb,blocks_all,0.4321252703666687,1.1036641597747803,1.0942798852920532,66
sst2+imdb,sst2,imdb,full,0.374576598405838,1.1853160858154297,1.2554670572280884,71
imdb+rte,imdb,rte,embeddings,0.0006907446077093482,0.6155460476875305,0.5005795955657959,5
imdb+rte,imdb,rte,early,0.03970913589000702,0.6658462285995483,0.453225702047348,32
imdb+rte,imdb,rte,late,-0.006912164390087128,0.8684309124946594,0.48740100860595703,34
imdb+rte,imdb,rte,blocks_all,0.012436922639608383,1.0942798852920532,0.6655385494232178,66
imdb+rte,imdb,rte,full,0.008867518976330757,1.2554670572280884,0.832709014415741,71
imdb+mrpc,imdb,mrpc,embeddings,-0.0018171629635617137,0.6155460476875305,0.5255841016769409,5
imdb+mrpc,imdb,mrpc,early,0.027797652408480644,0.6658462285995483,0.6020490527153015,32
imdb+mrpc,imdb,mrpc,late,0.044363077729940414,0.8684309124946594,0.7374940514564514,34
imdb+mrpc,imdb,mrpc,blocks_all,0.03797067329287529,1.0942798852920532,0.9520018100738525,66
imdb+mrpc,imdb,mrpc,full,0.028544051572680473,1.2554670572280884,1.0874018669128418,71
