pair,method,scope,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
sst2+imdb,mean,embeddings,sst2,1.001729130744934,0.7614678899082569,0.7647058823529411,0.7614678899082569,0.7752293577981652,0.9822485207100591,-0.013761467889908285
sst2+imdb,mean,embeddings,imdb,0.9789736270904541,0.7695,0.7644353602452734,0.7695,0.7725,0.996116504854369,-0.0030000000000000027
sst2+imdb,mean,early,sst2,1.0291608572006226,0.7534403669724771,0.7690655209452202,0.7534403669724771,0.7752293577981652,0.9718934911242604,-0.02178899082568808
sst2+imdb,mean,early,imdb,1.0113869905471802,0.7615,0.7386301369863014,0.7615,0.7725,0.9857605177993527,-0.01100000000000001
sst2+imdb,mean,late,sst2,1.0267207622528076,0.768348623853211,0.765661252900232,0.768348623853211,0.7752293577981652,0.9911242603550295,-0.006880733944954143
sst2+imdb,mean,late,imdb,0.9907147288322449,0.7715,0.7732009925558313,0.7715,0.7725,0.998705501618123,-0.0010000000000000009
sst2+imdb,mean,blocks_all,sst2,1.0580475330352783,0.7442660550458715,0.7609860664523044,0.7442660550458715,0.7752293577981652,0.9600591715976331,-0.030963302752293642
sst2+imdb,mean,blocks_all,imdb,1.0341705083847046,0.7545,0.7294765840220385,0.7545,0.7725,0.9766990291262135,-0.018000000000000016
sst2+imdb,mean,full,sst2,1.0653318166732788,0.7477064220183486,0.7684210526315789,0.7477064220183486,0.7752293577981652,0.9644970414201183,-0.02752293577981657
sst2+imdb,mean,full,imdb,1.0556219816207886,0.749,0.7147727272727272,0.749,0.7725,0.96957928802589,-0.023499999999999965
sst2+imdb,ties,embeddings,sst2,0.9978131055831909,0.7637614678899083,0.7680180180180181,0.7637614678899083,0.7752293577981652,0.985207100591716,-0.011467889908256867
sst2+imdb,ties,embeddings,imdb,0.973535418510437,0.7725,0.7682119205298014,0.7725,0.7725,1.0,0.0
sst2+imdb,ties,early,sst2,1.0313560962677002,0.7545871559633027,0.7742616033755274,0.7545871559633027,0.7752293577981652,0.9733727810650887,-0.020642201834862428
sst2+imdb,ties,early,imdb,0.9994456768035889,0.7685,0.7533297815663292,0.7685,0.7725,0.9948220064724919,-0.0040000000000000036
sst2+imdb,ties,late,sst2,1.0356273651123047,0.7660550458715596,0.7723214285714286,0.7660550458715596,0.7752293577981652,0.9881656804733727,-0.00917431192660556
sst2+imdb,ties,late,imdb,1.004553198814392,0.7675,0.7771921418303785,0.7675,0.7725,0.9935275080906149,-0.0050000000000000044
sst2+imdb,ties,blocks_all,sst2,1.0781784057617188,0.7339449541284404,0.7622950819672131,0.7339449541284404,0.7752293577981652,0.9467455621301776,-0.041284403669724745
sst2+imdb,ties,blocks_all,imdb,1.0307797193527222,0.76,0.7597597597597597,0.76,0.7725,0.9838187702265373,-0.012499999999999956
sst2+imdb,ties,full,sst2,1.0856764316558838,0.7305045871559633,0.7652347652347652,0.7305045871559633,0.7752293577981652,0.9423076923076923,-0.044724770642201817
sst2+imdb,ties,full,imdb,1.0371689796447754,0.7605,0.7537275064267352,0.7605,0.7725,0.9844660194174757,-0.01200000000000001
imdb+rte,mean,embeddings,imdb,0.9825278520584106,0.7685,0.767686904164576,0.7685,0.7725,0.9948220064724919,-0.0040000000000000036
imdb+rte,mean,embeddings,rte,1.3101928234100342,0.5992779783393501,0.42487046632124353,0.5992779783393501,0.6064981949458483,0.9880952380952381,-0.0072202166064981865
imdb+rte,mean,early,imdb,1.0419931411743164,0.7465,0.7638565440149045,0.7465,0.7725,0.9663430420711975,-0.025999999999999912
imdb+rte,mean,early,rte,1.3240031003952026,0.5992779783393501,0.44776119402985076,0.5992779783393501,0.6064981949458483,0.9880952380952381,-0.0072202166064981865
imdb+rte,mean,late,imdb,1.0829817056655884,0.7555,0.7722403353516535,0.7555,0.7725,0.9779935275080905,-0.017000000000000015
imdb+rte,mean,late,rte,1.3262248039245605,0.6137184115523465,0.570281124497992,0.6137184115523465,0.6064981949458483,1.0119047619047619,0.0072202166064981865
imdb+rte,mean,blocks_all,imdb,1.2267197370529175,0.668,0.7402190923317684,0.668,0.7725,0.8647249190938512,-0.10449999999999993
imdb+rte,mean,blocks_all,rte,1.372527837753296,0.5703971119133574,0.6246056782334385,0.5703971119133574,0.6064981949458483,0.9404761904761906,-0.03610108303249093
imdb+rte,mean,full,imdb,1.2444524765014648,0.65,0.7309761721752498,0.65,0.7725,0.8414239482200648,-0.12249999999999994
imdb+rte,mean,full,rte,1.3762098550796509,0.555956678700361,0.616822429906542,0.555956678700361,0.6064981949458483,0.9166666666666667,-0.050541516245487306
imdb+rte,ties,embeddings,imdb,0.9713479280471802,0.7705,0.7735569807597434,0.7705,0.7725,0.997411003236246,-0.0020000000000000018
imdb+rte,ties,embeddings,rte,1.3096076250076294,0.5956678700361011,0.422680412371134,0.5956678700361011,0.6064981949458483,0.9821428571428572,-0.010830324909747224
imdb+rte,ties,early,imdb,1.0384745597839355,0.7495,0.7746288798920378,0.7495,0.7725,0.9702265372168286,-0.02299999999999991
imdb+rte,ties,early,rte,1.3231083154678345,0.592057761732852,0.44878048780487806,0.592057761732852,0.6064981949458483,0.9761904761904762,-0.014440433212996373
imdb+rte,ties,late,imdb,1.053134799003601,0.7565,0.7777270652670014,0.7565,0.7725,0.9792880258899677,-0.016000000000000014
imdb+rte,ties,late,rte,1.3398549556732178,0.6173285198555957,0.6267605633802817,0.6173285198555957,0.6064981949458483,1.017857142857143,0.010830324909747335
imdb+rte,ties,blocks_all,imdb,1.2177273035049438,0.6535,0.7357987037743042,0.6535,0.7725,0.8459546925566344,-0.119
imdb+rte,ties,blocks_all,rte,1.4032717943191528,0.5306859205776173,0.6242774566473989,0.5306859205776173,0.6064981949458483,0.875,-0.07581227436823101
imdb+rte,ties,full,imdb,1.2325774431228638,0.6355,0.726454033771107,0.6355,0.7725,0.8226537216828479,-0.137
imdb+rte,ties,full,rte,1.4101030826568604,0.51985559566787,0.623229461756374,0.51985559566787,0.6064981949458483,0.8571428571428571,-0.08664259927797835
imdb+mrpc,mean,embeddings,imdb,0.9904509782791138,0.767,0.7523910733262487,0.767,0.7725,0.9928802588996765,-0.005499999999999949
imdb+mrpc,mean,embeddings,mrpc,1.0587570667266846,0.7524509803921569,0.8368336025848142,0.8368336025848142,0.8349514563106796,1.0022541984446032,0.0018821462741346329
imdb+mrpc,mean,early,imdb,1.1213548183441162,0.7125,0.6307000642260758,0.7125,0.7725,0.9223300970873787,-0.05999999999999994
imdb+mrpc,mean,early,mrpc,1.0879675149917603,0.7230392156862745,0.8258859784283513,0.8258859784283513,0.8349514563106796,0.9891425090479092,-0.009065477882328254
