pair,method,scope,mean_retained,worst_retained
imdb+mrpc,mean,blocks_all,0.9624458457531614,0.940453074433657
imdb+mrpc,mean,early,0.955736303067644,0.9223300970873787
imdb+mrpc,mean,embeddings,0.9975672286721398,0.9928802588996765
imdb+mrpc,mean,full,0.9571060804639318,0.932686084142395
imdb+mrpc,mean,late,0.9929845299101685,0.9922330097087378
imdb+mrpc,ties,blocks_all,0.9796962268996872,0.9747572815533981
imdb+mrpc,ties,early,0.9706230344592297,0.9521035598705503
imdb+mrpc,ties,embeddings,0.998221998104678,0.997738494591233
imdb+mrpc,ties,full,0.9771072301359331,0.96957928802589
imdb+mrpc,ties,late,0.9954711372017763,0.9928802588996765
imdb+rte,mean,blocks_all,0.9026005547850209,0.8647249190938512
imdb+rte,mean,early,0.9772191400832178,0.9663430420711975
imdb+rte,mean,embeddings,0.991458622283865,0.9880952380952381
imdb+rte,mean,full,0.8790453074433657,0.8414239482200648
imdb+rte,mean,late,0.9949491447064263,0.9779935275080905
imdb+rte,ties,blocks_all,0.8604773462783172,0.8459546925566344
imdb+rte,ties,early,0.9732085067036524,0.9702265372168286
imdb+rte,ties,embeddings,0.9897769301895516,0.9821428571428572
imdb+rte,ties,full,0.8398982894128525,0.8226537216828479
imdb+rte,ties,late,0.9985725843735553,0.9792880258899677
sst2+imdb,mean,blocks_all,0.9683791003619233,0.9600591715976331
sst2+imdb,mean,early,0.9788270044618066,0.9718934911242604
sst2+imdb,mean,embeddings,0.989182512782214,0.9822485207100591
sst2+imdb,mean,full,0.9670381647230042,0.9644970414201183
sst2+imdb,mean,late,0.9949148809865762,0.9911242603550295
sst2+imdb,ties,blocks_all,0.9652821661783575,0.9467455621301776
sst2+imdb,ties,early,0.9840973937687902,0.9733727810650887
sst2+imdb,ties,embeddings,0.992603550295858,0.985207100591716
sst2+imdb,ties,full,0.963386855862584,0.9423076923076923
sst2+imdb,ties,late,0.9908465942819937,0.9881656804733727
