pair,variant,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta,norm_a,norm_b
sst2+imdb,standard_mean,sst2,1.0653318166732788,0.7477064220183486,0.7684210526315789,0.7477064220183486,0.7752293577981652,0.9644970414201183,-0.02752293577981657,1.1853160858154297,1.2554670572280884
sst2+imdb,standard_mean,imdb,1.0556219816207886,0.749,0.7147727272727272,0.749,0.7725,0.96957928802589,-0.023499999999999965,1.1853160858154297,1.2554670572280884
sst2+imdb,equal_norm_mean,sst2,1.0627524852752686,0.7465596330275229,0.7671232876712328,0.7465596330275229,0.7752293577981652,0.9630177514792899,-0.028669724770642224,1.1853160858154297,1.2554670572280884
sst2+imdb,equal_norm_mean,imdb,1.058766484260559,0.749,0.7131428571428572,0.749,0.7725,0.96957928802589,-0.023499999999999965,1.1853160858154297,1.2554670572280884
sst2+mrpc,standard_mean,sst2,1.2107014656066895,0.7075688073394495,0.7472745292368682,0.7075688073394495,0.7752293577981652,0.9127218934911242,-0.06766055045871566,1.1853160858154297,1.0874018669128418
sst2+mrpc,standard_mean,mrpc,1.1485615968704224,0.7083333333333334,0.8226527570789866,0.8226527570789866,0.8349514563106796,0.9852701625480886,-0.012298699231693022,1.1853160858154297,1.0874018669128418
sst2+mrpc,equal_norm_mean,sst2,1.2226965427398682,0.7006880733944955,0.7492795389048992,0.7006880733944955,0.7752293577981652,0.9038461538461539,-0.0745412844036697,1.1853160858154297,1.0874018669128418
sst2+mrpc,equal_norm_mean,mrpc,1.1422940492630005,0.7083333333333334,0.8226527570789866,0.8226527570789866,0.8349514563106796,0.9852701625480886,-0.012298699231693022,1.1853160858154297,1.0874018669128418
sst2+rte,standard_mean,sst2,1.2927923202514648,0.5848623853211009,0.7085346215780999,0.5848623853211009,0.7752293577981652,0.7544378698224852,-0.19036697247706424,1.1853160858154297,0.832709014415741
sst2+rte,standard_mean,rte,1.3445754051208496,0.6209386281588448,0.5679012345679012,0.6209386281588448,0.6064981949458483,1.023809523809524,0.014440433212996484,1.1853160858154297,0.832709014415741
sst2+rte,equal_norm_mean,sst2,1.3534958362579346,0.533256880733945,0.6852281515854601,0.533256880733945,0.7752293577981652,0.6878698224852071,-0.2419724770642202,1.1853160858154297,0.832709014415741
sst2+rte,equal_norm_mean,rte,1.3323338031768799,0.6425992779783394,0.5395348837209303,0.6425992779783394,0.6064981949458483,1.0595238095238095,0.036101083032491044,1.1853160858154297,0.832709014415741
imdb+mrpc,standard_mean,imdb,1.2113739252090454,0.7205,0.6781807714450202,0.7205,0.7725,0.932686084142395,-0.051999999999999935,1.2554670572280884,1.0874018669128418
imdb+mrpc,standard_mean,mrpc,1.1531813144683838,0.7009803921568627,0.8195266272189349,0.8195266272189349,0.8349514563106796,0.9815260767854685,-0.015424829091744696,1.2554670572280884,1.0874018669128418
imdb+mrpc,equal_norm_mean,imdb,1.22794508934021,0.713,0.681465038845727,0.713,0.7725,0.9229773462783172,-0.0595,1.2554670572280884,1.0874018669128418
imdb+mrpc,equal_norm_mean,mrpc,1.1418262720108032,0.7083333333333334,0.8231797919762258,0.8231797919762258,0.8349514563106796,0.985901378762224,-0.011771664334453757,1.2554670572280884,1.0874018669128418
imdb+rte,standard_mean,imdb,1.2444524765014648,0.65,0.7309761721752498,0.65,0.7725,0.8414239482200648,-0.12249999999999994,1.2554670572280884,0.832709014415741
imdb+rte,standard_mean,rte,1.3762098550796509,0.555956678700361,0.616822429906542,0.555956678700361,0.6064981949458483,0.9166666666666667,-0.050541516245487306,1.2554670572280884,0.832709014415741
imdb+rte,equal_norm_mean,imdb,1.3215839862823486,0.5615,0.6930346517325866,0.5615,0.7725,0.7268608414239482,-0.21099999999999997,1.2554670572280884,0.832709014415741
imdb+rte,equal_norm_mean,rte,1.3463064432144165,0.6028880866425993,0.5925925925925926,0.6028880866425993,0.6064981949458483,0.9940476190476192,-0.0036101083032490378,1.2554670572280884,0.832709014415741
mrpc+rte,standard_mean,mrpc,1.1972285509109497,0.7254901960784313,0.8282208588957055,0.8282208588957055,0.8349514563106796,0.991938935654159,-0.00673059741497406,1.0874018669128418,0.832709014415741
mrpc+rte,standard_mean,rte,1.3621000051498413,0.5342960288808665,0.5656565656565656,0.5342960288808665,0.6064981949458483,0.880952380952381,-0.07220216606498187,1.0874018669128418,0.832709014415741
mrpc+rte,equal_norm_mean,mrpc,1.2397228479385376,0.7107843137254902,0.815625,0.815625,0.8349514563106796,0.9768531976744187,-0.01932645631067953,1.0874018669128418,0.832709014415741
mrpc+rte,equal_norm_mean,rte,1.345337986946106,0.5415162454873647,0.5512367491166078,0.5415162454873647,0.6064981949458483,0.892857142857143,-0.06498194945848368,1.0874018669128418,0.832709014415741
