pair,variant,mean_retained,worst_retained
imdb+mrpc,equal_norm_mean,0.9544393625202705,0.9229773462783172
imdb+mrpc,standard_mean,0.9571060804639318,0.932686084142395
imdb+rte,equal_norm_mean,0.8604542302357837,0.7268608414239482
imdb+rte,standard_mean,0.8790453074433657,0.8414239482200648
mrpc+rte,equal_norm_mean,0.9348551702657808,0.892857142857143
mrpc+rte,standard_mean,0.9364456583032701,0.880952380952381
sst2+imdb,equal_norm_mean,0.96629851975259,0.9630177514792899
sst2+imdb,standard_mean,0.9670381647230042,0.9644970414201183
sst2+mrpc,equal_norm_mean,0.9445581581971212,0.9038461538461539
sst2+mrpc,standard_mean,0.9489960280196064,0.9127218934911242
sst2+rte,equal_norm_mean,0.8736968160045083,0.6878698224852071
sst2+rte,standard_mean,0.8891236968160046,0.7544378698224852
