task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
sst2,imdb,sst2+imdb,mean,1.0,,sst2,1.0653318166732788,0.7477064220183486,0.7684210526315789,0.7477064220183486,0.7752293577981652,0.9644970414201183,-0.02752293577981657
sst2,imdb,sst2+imdb,mean,1.0,,imdb,1.0556219816207886,0.749,0.7147727272727272,0.749,0.7725,0.96957928802589,-0.023499999999999965
sst2,imdb,sst2+imdb,task_arithmetic,0.5,,sst2,1.0653318166732788,0.7477064220183486,0.7684210526315789,0.7477064220183486,0.7752293577981652,0.9644970414201183,-0.02752293577981657
sst2,imdb,sst2+imdb,task_arithmetic,0.5,,imdb,1.0556219816207886,0.749,0.7147727272727272,0.749,0.7725,0.96957928802589,-0.023499999999999965
sst2,imdb,sst2+imdb,task_arithmetic,0.75,,sst2,1.0131556987762451,0.7614678899082569,0.7819706498951782,0.7614678899082569,0.7752293577981652,0.9822485207100591,-0.013761467889908285
sst2,imdb,sst2+imdb,task_arithmetic,0.75,,imdb,0.9689599871635437,0.7725,0.7643707923355775,0.7725,0.7725,1.0,0.0
sst2,imdb,sst2+imdb,task_arithmetic,1.0,,sst2,1.0844296216964722,0.7568807339449541,0.7854251012145749,0.7568807339449541,0.7752293577981652,0.9763313609467456,-0.01834862385321101
sst2,imdb,sst2+imdb,task_arithmetic,1.0,,imdb,0.9979434609413147,0.768,0.7800947867298578,0.768,0.7725,0.9941747572815535,-0.0044999999999999485
sst2,imdb,sst2+imdb,ties,0.5,0.1,sst2,1.3225820064544678,0.5344036697247706,0.6842923794712286,0.5344036697247706,0.7752293577981652,0.6893491124260355,-0.24082568807339455
sst2,imdb,sst2+imdb,ties,0.5,0.1,imdb,1.3472726345062256,0.5265,0.6775621382362955,0.5265,0.7725,0.6815533980582524,-0.246
sst2,imdb,sst2+imdb,ties,0.75,0.1,sst2,1.2565903663635254,0.625,0.7240506329113924,0.625,0.7752293577981652,0.8062130177514792,-0.15022935779816515
sst2,imdb,sst2+imdb,ties,0.75,0.1,imdb,1.2550959587097168,0.655,0.7323506594259116,0.655,0.7725,0.8478964401294499,-0.11749999999999994
sst2,imdb,sst2+imdb,ties,1.0,0.1,sst2,1.1839929819107056,0.6823394495412844,0.7470319634703196,0.6823394495412844,0.7752293577981652,0.8801775147928994,-0.0928899082568807
sst2,imdb,sst2+imdb,ties,1.0,0.1,imdb,1.1532400846481323,0.74,0.7666068222621185,0.74,0.7725,0.9579288025889968,-0.03249999999999997
sst2,imdb,sst2+imdb,ties,0.5,0.2,sst2,1.2732406854629517,0.6181192660550459,0.7218045112781954,0.6181192660550459,0.7752293577981652,0.7973372781065089,-0.1571100917431193
sst2,imdb,sst2+imdb,ties,0.5,0.2,imdb,1.2664408683776855,0.6595,0.7270541082164329,0.6595,0.7725,0.8537216828478964,-0.11299999999999999
sst2,imdb,sst2+imdb,ties,0.75,0.2,sst2,1.1748337745666504,0.6995412844036697,0.7523629489603024,0.6995412844036697,0.7752293577981652,0.9023668639053254,-0.07568807339449546
sst2,imdb,sst2+imdb,ties,0.75,0.2,imdb,1.1383817195892334,0.7395,0.7434761201378631,0.7395,0.7725,0.9572815533980583,-0.03299999999999992
sst2,imdb,sst2+imdb,ties,1.0,0.2,sst2,1.0856764316558838,0.7305045871559633,0.7652347652347652,0.7305045871559633,0.7752293577981652,0.9423076923076923,-0.044724770642201817
sst2,imdb,sst2+imdb,ties,1.0,0.2,imdb,1.0371689796447754,0.7605,0.7537275064267352,0.7605,0.7725,0.9844660194174757,-0.01200000000000001
sst2,imdb,sst2+imdb,ties,0.5,0.5,sst2,1.2234889268875122,0.6605504587155964,0.7318840579710145,0.6605504587155964,0.7752293577981652,0.8520710059171598,-0.11467889908256879
sst2,imdb,sst2+imdb,ties,0.5,0.5,imdb,1.2018249034881592,0.724,0.7200811359026369,0.724,0.7725,0.9372168284789644,-0.04849999999999999
sst2,imdb,sst2+imdb,ties,0.75,0.5,sst2,1.105959177017212,0.7282110091743119,0.7569230769230769,0.7282110091743119,0.7752293577981652,0.9393491124260355,-0.047018348623853234
sst2,imdb,sst2+imdb,ties,0.75,0.5,imdb,1.0880073308944702,0.7465,0.7127478753541077,0.7465,0.7725,0.9663430420711975,-0.025999999999999912
sst2,imdb,sst2+imdb,ties,1.0,0.5,sst2,1.0296489000320435,0.7522935779816514,0.773109243697479,0.7522935779816514,0.7752293577981652,0.970414201183432,-0.022935779816513735
sst2,imdb,sst2+imdb,ties,1.0,0.5,imdb,1.0126442909240723,0.761,0.7379385964912281,0.761,0.7725,0.9851132686084143,-0.011499999999999955
sst2,mrpc,sst2+mrpc,mean,1.0,,sst2,1.2107014656066895,0.7075688073394495,0.7472745292368682,0.7075688073394495,0.7752293577981652,0.9127218934911242,-0.06766055045871566
sst2,mrpc,sst2+mrpc,mean,1.0,,mrpc,1.1485615968704224,0.7083333333333334,0.8226527570789866,0.8226527570789866,0.8349514563106796,0.9852701625480886,-0.012298699231693022
sst2,mrpc,sst2+mrpc,task_arithmetic,0.5,,sst2,1.2107014656066895,0.7075688073394495,0.7472745292368682,0.7075688073394495,0.7752293577981652,0.9127218934911242,-0.06766055045871566
sst2,mrpc,sst2+mrpc,task_arithmetic,0.5,,mrpc,1.1485615968704224,0.7083333333333334,0.8226527570789866,0.8226527570789866,0.8349514563106796,0.9852701625480886,-0.012298699231693022
sst2,mrpc,sst2+mrpc,task_arithmetic,0.75,,sst2,1.0961519479751587,0.7614678899082569,0.7444717444717445,0.7614678899082569,0.7752293577981652,0.9822485207100591,-0.013761467889908285
sst2,mrpc,sst2+mrpc,task_arithmetic,0.75,,mrpc,1.095549464225769,0.75,0.8375796178343949,0.8375796178343949,0.8349514563106796,1.003147681824915,0.0026281615237153666
sst2,mrpc,sst2+mrpc,task_arithmetic,1.0,,sst2,1.0501633882522583,0.7454128440366973,0.7024128686327078,0.7454128440366973,0.7752293577981652,0.9615384615384616,-0.029816513761467878
