pair,task_a,task_b,method,scale,density,mean_retained,worst_retained,mean_delta
imdb+mrpc,imdb,mrpc,mean,1.0,,0.9571060804639318,0.932686084142395,-0.033712414545872316
imdb+mrpc,imdb,mrpc,task_arithmetic,0.5,,0.9571060804639318,0.932686084142395,-0.033712414545872316
imdb+mrpc,imdb,mrpc,task_arithmetic,0.75,,0.9446437576141233,0.8970873786407767,-0.0430062536576582
imdb+mrpc,imdb,mrpc,task_arithmetic,1.0,,0.9407917513358923,0.8970873786407767,-0.0462224919093851
imdb+mrpc,imdb,mrpc,ties,0.5,0.1,0.8161652572383356,0.659546925566343,-0.14286219103743586
imdb+mrpc,imdb,mrpc,ties,0.5,0.2,0.865417972498163,0.7566343042071199,-0.10477018879673916
imdb+mrpc,imdb,mrpc,ties,0.5,0.5,0.9357742827377769,0.8944983818770226,-0.05033099131323454
imdb+mrpc,imdb,mrpc,ties,0.75,0.1,0.8655477455209485,0.7540453074433657,-0.1045809913132345
imdb+mrpc,imdb,mrpc,ties,0.75,0.2,0.9570284211786624,0.933980582524272,-0.03381767793377405
imdb+mrpc,imdb,mrpc,ties,0.75,0.5,0.9650348425169155,0.9456310679611651,-0.027496499668692886
imdb+mrpc,imdb,mrpc,ties,1.0,0.1,0.9369636962595684,0.8938511326860842,-0.04931767793377406
imdb+mrpc,imdb,mrpc,ties,1.0,0.2,0.9771072301359331,0.96957928802589,-0.018164442654592383
imdb+mrpc,imdb,mrpc,ties,1.0,0.5,0.9569178850704673,0.9300970873786408,-0.03378870525457639
imdb+rte,imdb,rte,mean,1.0,,0.8790453074433657,0.8414239482200648,-0.08652075812274362
imdb+rte,imdb,rte,task_arithmetic,0.5,,0.8790453074433657,0.8414239482200648,-0.08652075812274362
imdb+rte,imdb,rte,task_arithmetic,0.75,,0.8676028663892742,0.8452380952380952,-0.08943140794223825
imdb+rte,imdb,rte,task_arithmetic,1.0,,0.8587378640776699,0.8333333333333334,-0.09529151624548732
imdb+rte,imdb,rte,ties,0.5,0.1,0.7505143319463708,0.6498381877022654,-0.18037635379061367
imdb+rte,imdb,rte,ties,0.5,0.2,0.7602230698104485,0.6692556634304208,-0.17287635379061367
imdb+rte,imdb,rte,ties,0.5,0.5,0.7892279241793805,0.7689320388349514,-0.14701173285198554
imdb+rte,imdb,rte,ties,0.75,0.1,0.760933888118354,0.6647249190938511,-0.17282129963898918
imdb+rte,imdb,rte,ties,0.75,0.2,0.7993816458622285,0.7475728155339806,-0.14262635379061367
imdb+rte,imdb,rte,ties,0.75,0.5,0.8569926028663892,0.8214285714285714,-0.09565162454873644
imdb+rte,imdb,rte,ties,1.0,0.1,0.7980177993527509,0.7210355987055017,-0.14565613718411546
imdb+rte,imdb,rte,ties,1.0,0.2,0.8398982894128525,0.8226537216828479,-0.11182129963898918
imdb+rte,imdb,rte,ties,1.0,0.5,0.8612690707350903,0.7976190476190477,-0.09037184115523461
mrpc+rte,mrpc,rte,mean,1.0,,0.9364456583032701,0.880952380952381,-0.03946638173997796
mrpc+rte,mrpc,rte,task_arithmetic,0.5,,0.9364456583032701,0.880952380952381,-0.03946638173997796
mrpc+rte,mrpc,rte,task_arithmetic,0.75,,0.9332252706033652,0.892857142857143,-0.04351508998135584
mrpc+rte,mrpc,rte,task_arithmetic,1.0,,0.922761191256587,0.880952380952381,-0.050892247429441484
mrpc+rte,mrpc,rte,ties,0.5,0.1,0.9051917584659324,0.8333333333333334,-0.060122507558721894
mrpc+rte,mrpc,rte,ties,0.5,0.2,0.9026818068633811,0.8273809523809524,-0.06153827488381264
mrpc+rte,mrpc,rte,ties,0.5,0.5,0.912697445640281,0.8392857142857144,-0.05453554354261575
mrpc+rte,mrpc,rte,ties,0.75,0.1,0.913061391142614,0.8452380952380952,-0.05491158713615374
mrpc+rte,mrpc,rte,ties,0.75,0.2,0.931836027102375,0.875,-0.04263527960349173
mrpc+rte,mrpc,rte,ties,0.75,0.5,0.9485909892547566,0.8988095238095238,-0.031365381236845125
mrpc+rte,mrpc,rte,ties,1.0,0.1,0.9186498265926619,0.8511904761904763,-0.050925435239366657
mrpc+rte,mrpc,rte,ties,1.0,0.2,0.9553209188478695,0.9107142857142857,-0.02710605756366441
mrpc+rte,mrpc,rte,ties,1.0,0.5,0.9214471797106186,0.8690476190476192,-0.05062954244189949
sst2+imdb,sst2,imdb,mean,1.0,,0.9670381647230042,0.9644970414201183,-0.025511467889908268
sst2+imdb,sst2,imdb,task_arithmetic,0.5,,0.9670381647230042,0.9644970414201183,-0.025511467889908268
sst2+imdb,sst2,imdb,task_arithmetic,0.75,,0.9911242603550295,0.9822485207100591,-0.006880733944954143
sst2+imdb,sst2,imdb,task_arithmetic,1.0,,0.9852530591141495,0.9763313609467456,-0.01142431192660548
sst2+imdb,sst2,imdb,ties,0.5,0.1,0.6854512552421439,0.6815533980582524,-0.24341284403669727
sst2+imdb,sst2,imdb,ties,0.5,0.2,0.8255294804772026,0.7973372781065089,-0.13505504587155964
sst2+imdb,sst2,imdb,ties,0.5,0.5,0.894643917198062,0.8520710059171598,-0.08158944954128439
sst2+imdb,sst2,imdb,ties,0.75,0.1,0.8270547289404646,0.8062130177514792,-0.13386467889908255
sst2+imdb,sst2,imdb,ties,0.75,0.2,0.9298242086516919,0.9023668639053254,-0.05434403669724769
sst2+imdb,sst2,imdb,ties,0.75,0.5,0.9528460772486165,0.9393491124260355,-0.03650917431192657
sst2+imdb,sst2,imdb,ties,1.0,0.1,0.9190531586909481,0.8801775147928994,-0.06269495412844034
sst2+imdb,sst2,imdb,ties,1.0,0.2,0.963386855862584,0.9423076923076923,-0.028362385321100914
sst2+imdb,sst2,imdb,ties,1.0,0.5,0.9777637348959232,0.970414201183432,-0.017217889908256845
