seed,task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
42,sst2,imdb,sst2+imdb,mean,1.0,,sst2,1.0653318166732788,0.7477064220183486,0.7684210526315789,0.7477064220183486,0.7752293577981652,0.9644970414201184,-0.0275229357798165
42,sst2,imdb,sst2+imdb,mean,1.0,,imdb,1.0556219816207886,0.749,0.7147727272727272,0.749,0.7725,0.96957928802589,-0.0234999999999999
42,sst2,imdb,sst2+imdb,task_arithmetic,0.75,,sst2,1.0131556987762451,0.7614678899082569,0.7819706498951782,0.7614678899082569,0.7752293577981652,0.9822485207100592,-0.0137614678899082
42,sst2,imdb,sst2+imdb,task_arithmetic,0.75,,imdb,0.9689599871635436,0.7725,0.7643707923355775,0.7725,0.7725,1.0,0.0
42,sst2,imdb,sst2+imdb,ties,1.0,0.2,sst2,1.0856764316558838,0.7305045871559633,0.7652347652347652,0.7305045871559633,0.7752293577981652,0.9423076923076924,-0.0447247706422018
42,sst2,imdb,sst2+imdb,ties,1.0,0.2,imdb,1.0371689796447754,0.7605,0.7537275064267352,0.7605,0.7725,0.9844660194174756,-0.012
42,sst2,mrpc,sst2+mrpc,mean,1.0,,sst2,1.2107014656066897,0.7075688073394495,0.7472745292368682,0.7075688073394495,0.7752293577981652,0.9127218934911242,-0.0676605504587156
42,sst2,mrpc,sst2+mrpc,mean,1.0,,mrpc,1.1485615968704224,0.7083333333333334,0.8226527570789866,0.8226527570789866,0.8349514563106796,0.9852701625480886,-0.012298699231693
42,sst2,mrpc,sst2+mrpc,task_arithmetic,0.75,,sst2,1.0961519479751587,0.7614678899082569,0.7444717444717445,0.7614678899082569,0.7752293577981652,0.9822485207100592,-0.0137614678899082
42,sst2,mrpc,sst2+mrpc,task_arithmetic,0.75,,mrpc,1.095549464225769,0.75,0.8375796178343949,0.8375796178343949,0.8349514563106796,1.003147681824915,0.0026281615237153
42,sst2,mrpc,sst2+mrpc,ties,1.0,0.2,sst2,1.1342830657958984,0.7431192660550459,0.7656903765690377,0.7431192660550459,0.7752293577981652,0.9585798816568049,-0.0321100917431192
42,sst2,mrpc,sst2+mrpc,ties,1.0,0.2,mrpc,1.1349378824234009,0.7279411764705882,0.8315629742033384,0.8315629742033384,0.8349514563106796,0.9959417016621378,-0.0033884821073412
42,sst2,rte,sst2+rte,mean,1.0,,sst2,1.2927923202514648,0.5848623853211009,0.7085346215780999,0.5848623853211009,0.7752293577981652,0.7544378698224852,-0.1903669724770642
42,sst2,rte,sst2+rte,mean,1.0,,rte,1.3445754051208496,0.6209386281588448,0.5679012345679012,0.6209386281588448,0.6064981949458483,1.023809523809524,0.0144404332129964
42,sst2,rte,sst2+rte,task_arithmetic,0.75,,sst2,1.2442917823791504,0.6330275229357798,0.7292724196277496,0.6330275229357798,0.7752293577981652,0.8165680473372781,-0.1422018348623853
42,sst2,rte,sst2+rte,task_arithmetic,0.75,,rte,1.3500620126724243,0.5956678700361011,0.5590551181102362,0.5956678700361011,0.6064981949458483,0.9821428571428572,-0.0108303249097472
42,sst2,rte,sst2+rte,ties,1.0,0.2,sst2,1.2481778860092163,0.6307339449541285,0.7280405405405406,0.6307339449541285,0.7752293577981652,0.8136094674556213,-0.1444954128440366
42,sst2,rte,sst2+rte,ties,1.0,0.2,rte,1.3530064821243286,0.5812274368231047,0.536,0.5812274368231047,0.6064981949458483,0.9583333333333336,-0.0252707581227435
42,imdb,mrpc,imdb+mrpc,mean,1.0,,imdb,1.2113739252090454,0.7205,0.6781807714450202,0.7205,0.7725,0.932686084142395,-0.0519999999999999
42,imdb,mrpc,imdb+mrpc,mean,1.0,,mrpc,1.1531813144683838,0.7009803921568627,0.8195266272189349,0.8195266272189349,0.8349514563106796,0.9815260767854684,-0.0154248290917446
42,imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,imdb,1.1656237840652466,0.693,0.5868102288021534,0.693,0.7725,0.8970873786407767,-0.0795
42,imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,mrpc,1.1050945520401,0.7279411764705882,0.8284389489953632,0.8284389489953632,0.8349514563106796,0.99220013658747,-0.0065125073153163
42,imdb,mrpc,imdb+mrpc,ties,1.0,0.2,imdb,1.123571515083313,0.749,0.7357894736842105,0.749,0.7725,0.96957928802589,-0.0234999999999999
42,imdb,mrpc,imdb+mrpc,ties,1.0,0.2,mrpc,1.1380492448806765,0.7083333333333334,0.8221225710014948,0.8221225710014948,0.8349514563106796,0.9846351722459764,-0.0128288853091848
42,imdb,rte,imdb+rte,mean,1.0,,imdb,1.2444524765014648,0.65,0.7309761721752498,0.65,0.7725,0.8414239482200648,-0.1224999999999999
42,imdb,rte,imdb+rte,mean,1.0,,rte,1.3762098550796509,0.555956678700361,0.616822429906542,0.555956678700361,0.6064981949458483,0.9166666666666669,-0.0505415162454873
42,imdb,rte,imdb+rte,task_arithmetic,0.75,,imdb,1.176779866218567,0.6875,0.7520825069416898,0.6875,0.7725,0.8899676375404532,-0.0849999999999999
42,imdb,rte,imdb+rte,task_arithmetic,0.75,,rte,1.419699788093567,0.5126353790613718,0.6131805157593123,0.5126353790613718,0.6064981949458483,0.8452380952380952,-0.0938628158844765
42,imdb,rte,imdb+rte,ties,1.0,0.2,imdb,1.2325774431228638,0.6355,0.726454033771107,0.6355,0.7725,0.8226537216828479,-0.137
42,imdb,rte,imdb+rte,ties,1.0,0.2,rte,1.4101030826568604,0.51985559566787,0.623229461756374,0.51985559566787,0.6064981949458483,0.8571428571428571,-0.0866425992779783
42,mrpc,rte,mrpc+rte,mean,1.0,,mrpc,1.1972285509109497,0.7254901960784313,0.8282208588957055,0.8282208588957055,0.8349514563106796,0.991938935654159,-0.006730597414974
42,mrpc,rte,mrpc+rte,mean,1.0,,rte,1.3621000051498413,0.5342960288808665,0.5656565656565656,0.5342960288808665,0.6064981949458483,0.880952380952381,-0.0722021660649818
42,mrpc,rte,mrpc+rte,task_arithmetic,0.75,,mrpc,1.136267900466919,0.7156862745098039,0.8129032258064516,0.8129032258064516,0.8349514563106796,0.9735933983495874,-0.0220482305042279
42,mrpc,rte,mrpc+rte,task_arithmetic,0.75,,rte,1.3790369033813477,0.5415162454873647,0.5243445692883895,0.5415162454873647,0.6064981949458483,0.892857142857143,-0.0649819494584836
42,mrpc,rte,mrpc+rte,ties,1.0,0.2,mrpc,1.1473714113235474,0.7401960784313726,0.8348909657320872,0.8348909657320872,0.8349514563106796,0.9999275519814532,-6.049057859236484e-05
42,mrpc,rte,mrpc+rte,ties,1.0,0.2,rte,1.3775293827056885,0.5523465703971119,0.5694444444444444,0.5523465703971119,0.6064981949458483,0.9107142857142856,-0.0541516245487364
7,sst2,imdb,sst2+imdb,mean,1.0,,sst2,1.0263177156448364,0.7511467889908257,0.7703703703703704,0.7511467889908257,0.768348623853211,0.9776119402985074,-0.017201834862385357
7,sst2,imdb,sst2+imdb,mean,1.0,,imdb,0.9852928519248962,0.766,0.75,0.766,0.787,0.9733163913595934,-0.02100000000000002
7,sst2,imdb,sst2+imdb,task_arithmetic,0.75,,sst2,1.1450910568237305,0.7305045871559633,0.7725072604065828,0.7305045871559633,0.768348623853211,0.9507462686567164,-0.037844036697247674
7,sst2,imdb,sst2+imdb,task_arithmetic,0.75,,imdb,1.0490678548812866,0.761,0.7815356489945156,0.761,0.787,0.9669631512071156,-0.026000000000000023
7,sst2,imdb,sst2+imdb,ties,1.0,0.2,sst2,1.0289819240570068,0.7580275229357798,0.7781282860147214,0.7580275229357798,0.768348623853211,0.9865671641791044,-0.010321100917431214
7,sst2,imdb,sst2+imdb,ties,1.0,0.2,imdb,0.9979616403579712,0.7645,0.7570912841670965,0.7645,0.787,0.97141041931385,-0.022500000000000075
7,sst2,mrpc,sst2+mrpc,mean,1.0,,sst2,1.1922321319580078,0.7041284403669725,0.6239067055393586,0.7041284403669725,0.768348623853211,0.9164179104477612,-0.06422018348623848
