seed,task_a,task_b,pair,cosine_similarity,sign_agreement,sign_conflict,norm_a,norm_b
42,sst2,imdb,sst2+imdb,0.374576598405838,0.6858764290809631,0.3141235709190368,1.1853160858154297,1.2554670572280884
42,sst2,mrpc,sst2+mrpc,0.0200775805860757,0.7018084526062012,0.2981915473937988,1.1853160858154297,1.0874018669128418
42,sst2,rte,sst2+rte,-0.0104179233312606,0.6908473372459412,0.3091526627540588,1.1853160858154297,0.832709014415741
42,imdb,mrpc,imdb+mrpc,0.0285440515726804,0.6495769023895264,0.3504230976104736,1.2554670572280884,1.0874018669128418
42,imdb,rte,imdb+rte,0.0088675189763307,0.6458719372749329,0.3541280627250671,1.2554670572280884,0.832709014415741
42,mrpc,rte,mrpc+rte,-0.0467226989567279,0.7075173854827881,0.2924826145172119,1.0874018669128418,0.832709014415741
7,sst2,imdb,sst2+imdb,0.4202369749546051,0.692028820514679,0.30797117948532104,1.2168774604797363,1.2103421688079834
7,sst2,mrpc,sst2+mrpc,0.0759434923529625,0.7069091796875,0.2930908203125,1.2168774604797363,0.8902246952056885
7,sst2,rte,sst2+rte,0.0006359001272358,0.6918679475784302,0.3081320524215698,1.2168774604797363,1.0779225826263428
7,imdb,mrpc,imdb+mrpc,0.05087786540389061,0.6503795385360718,0.3496204614639282,1.2103421688079834,0.8902246952056885
7,imdb,rte,imdb+rte,0.0007515979232266545,0.6440955996513367,0.35590440034866333,1.2103421688079834,1.0779225826263428
7,mrpc,rte,mrpc+rte,-0.053709715604782104,0.7087273597717285,0.2912726402282715,0.8902246952056885,1.0779225826263428
123,sst2,imdb,sst2+imdb,0.4253537356853485,0.6900972127914429,0.30990278720855713,1.2464228868484497,1.2977672815322876
123,sst2,mrpc,sst2+mrpc,0.09297334402799606,0.7077987790107727,0.2922012209892273,1.2464228868484497,1.0974020957946777
123,sst2,rte,sst2+rte,0.01516729686409235,0.6933951377868652,0.30660486221313477,1.2464228868484497,0.8310661315917969
123,imdb,mrpc,imdb+mrpc,0.05671174079179764,0.6500445604324341,0.3499554395675659,1.2977672815322876,1.0974020957946777
123,imdb,rte,imdb+rte,0.00944808591157198,0.643997848033905,0.35600215196609497,1.2977672815322876,0.8310661315917969
123,mrpc,rte,mrpc+rte,-0.01596974767744541,0.7131515741348267,0.28684842586517334,1.0974020957946777,0.8310661315917969
