seed,task,primary_metric,loss,accuracy,f1,primary_score
42,sst2,accuracy,0.9981321096420288,0.7752293577981652,0.7731481481481481,0.7752293577981652
42,imdb,accuracy,0.9674147367477416,0.7725,0.7735191637630662,0.7725
42,mrpc,f1,1.057210922241211,0.75,0.8349514563106796,0.8349514563106796
42,rte,accuracy,1.3097448348999023,0.6064981949458483,0.4293193717277487,0.6064981949458483
7,sst2,accuracy,0.9909303188323975,0.768348623853211,0.7789934354485777,0.768348623853211
7,imdb,accuracy,0.9290991425514221,0.787,0.7810894141829393,0.787
7,mrpc,f1,1.0856468677520752,0.7524509803921569,0.8414442700156985,0.8414442700156985
7,rte,accuracy,1.3355319499969482,0.5956678700361011,0.48148148148148145,0.5956678700361011
123,sst2,accuracy,0.9853605031967163,0.7660550458715596,0.7681818181818182,0.7660550458715596
123,imdb,accuracy,0.9397463202476501,0.7795,0.7672823218997361,0.7795
123,mrpc,f1,1.0645638704299927,0.7475490196078431,0.832520325203252,0.832520325203252
123,rte,accuracy,1.3083833456039429,0.6064981949458483,0.4630541871921182,0.6064981949458483
