pair,method,scale,density,retained_mean,retained_std,worst_mean,delta_mean
imdb+mrpc,mean,1.0,,0.9433423399843256,0.022895561780356125,0.9046501412533207,-0.044685044093524896
imdb+mrpc,task_arithmetic,0.75,,0.9406906789803958,0.044634806056259926,0.8933224856392513,-0.04658435462099044
imdb+mrpc,ties,1.0,0.2,0.9694361885692603,0.013379879892617706,0.9553592684486417,-0.024327255731682196
imdb+rte,mean,1.0,,0.8871754878117261,0.011602730140932885,0.8581280273166408,-0.0791492178098676
imdb+rte,task_arithmetic,0.75,,0.8669964294239733,0.015334190611197458,0.8484949837419369,-0.09098796630565582
imdb+rte,ties,1.0,0.2,0.8755197755252877,0.030864534165233402,0.8428687008784097,-0.08408965102286399
mrpc+rte,mean,1.0,,0.9262618701588766,0.008832936801006476,0.8682539682539683,-0.0462970534658968
mrpc+rte,task_arithmetic,0.75,,0.9204166183899506,0.01279882131984341,0.8582972582972582,-0.05002935816260517
mrpc+rte,ties,1.0,0.2,0.9324919454458139,0.020664969455579423,0.8742784992784992,-0.041811736982139754
sst2+imdb,mean,1.0,,0.9748827351918602,0.0075706191173852775,0.9698634042556277,-0.01949311926605503
sst2+imdb,task_arithmetic,0.75,,0.982827801550353,0.021086692092658114,0.9731748720596115,-0.013346330275229324
sst2+imdb,ties,1.0,0.2,0.9754108869905628,0.010693824799899127,0.96097638144494,-0.01911544342507646
sst2+mrpc,mean,1.0,,0.9409012215360096,0.013330802988482191,0.8966394156842193,-0.045967156081783034
sst2+mrpc,task_arithmetic,0.75,,0.9709999012051597,0.027971876019958417,0.9452044775590567,-0.022378552580931337
sst2+mrpc,ties,1.0,0.2,0.9741867168071446,0.005717905867864336,0.9572794797228822,-0.020170312462767608
sst2+rte,mean,1.0,,0.8881252520595248,0.013171266400196124,0.8264308792994246,-0.08193814239503637
sst2+rte,task_arithmetic,0.75,,0.8853599080615484,0.017122719027003713,0.8307126011158817,-0.08322638249483871
sst2+rte,ties,1.0,0.2,0.8865686977498374,0.004221635483982299,0.859767369382754,-0.07966526457567422
