seed,pair,task_a,task_b,method,scale,density,mean_retained,worst_retained,mean_delta
7,imdb+mrpc,imdb,mrpc,mean,1.0,,0.956008521699785,0.9339263024142312,-0.03521771022908826
7,imdb+mrpc,imdb,mrpc,task_arithmetic,0.75,,0.9832174630075994,0.9772354342744112,-0.013827556694596288
7,imdb+mrpc,imdb,mrpc,ties,1.0,0.2,0.9772147767445422,0.975395245992261,-0.018601764637478924
7,imdb+rte,imdb,rte,mean,1.0,,0.8820184051441993,0.8606060606060605,-0.07951624548736469
7,imdb+rte,imdb,rte,task_arithmetic,0.75,,0.8820184051441993,0.8606060606060605,-0.07951624548736469
7,imdb+rte,imdb,rte,ties,1.0,0.2,0.8923549343498518,0.8666666666666667,-0.07196119133574008
7,mrpc+rte,mrpc,rte,mean,1.0,,0.9216584602759399,0.8666666666666667,-0.04953494637304445
7,mrpc+rte,mrpc,rte,task_arithmetic,0.75,,0.9203969338968436,0.8606060606060605,-0.04985167354657344
7,mrpc+rte,mrpc,rte,ties,1.0,0.2,0.92709156239007,0.8787878787878788,-0.04645284766996988
7,sst2+imdb,sst2,imdb,mean,1.0,,0.9754641658290504,0.9733163913595934,-0.019100917431192688
7,sst2+imdb,sst2,imdb,task_arithmetic,0.75,,0.958854709931916,0.9507462686567164,-0.03192201834862385
7,sst2+imdb,sst2,imdb,ties,1.0,0.2,0.9789887917464772,0.97141041931385,-0.016410550458715645
7,sst2+mrpc,sst2,mrpc,mean,1.0,,0.9481925082235003,0.9164179104477612,-0.040538373677505235
7,sst2+mrpc,sst2,mrpc,task_arithmetic,0.75,,0.9808707657882835,0.9761194029850746,-0.015223400682461141
7,sst2+mrpc,sst2,mrpc,ties,1.0,0.2,0.9777100148802813,0.9716417910447761,-0.017719349453925948
7,sst2+rte,sst2,rte,mean,1.0,,0.900768882858435,0.8985074626865672,-0.06787169211406618
7,sst2+rte,sst2,rte,task_arithmetic,0.75,,0.8904568068747174,0.8597014925373134,-0.07736478653992646
7,sst2+rte,sst2,rte,ties,1.0,0.2,0.8826775214834917,0.8787878787878788,-0.07967906468386715
42,imdb+mrpc,imdb,mrpc,mean,1.0,,0.9571060804639318,0.932686084142395,-0.03371241454587225
42,imdb+mrpc,imdb,mrpc,task_arithmetic,0.75,,0.9446437576141233,0.8970873786407767,-0.04300625365765815
42,imdb+mrpc,imdb,mrpc,ties,1.0,0.2,0.9771072301359331,0.96957928802589,-0.01816444265459235
42,imdb+rte,imdb,rte,mean,1.0,,0.8790453074433658,0.8414239482200648,-0.0865207581227436
42,imdb+rte,imdb,rte,task_arithmetic,0.75,,0.8676028663892742,0.8452380952380952,-0.0894314079422382
42,imdb+rte,imdb,rte,ties,1.0,0.2,0.8398982894128525,0.8226537216828479,-0.11182129963898915
42,mrpc+rte,mrpc,rte,mean,1.0,,0.9364456583032701,0.880952380952381,-0.0394663817399779
42,mrpc+rte,mrpc,rte,task_arithmetic,0.75,,0.9332252706033652,0.892857142857143,-0.043515089981355747
42,mrpc+rte,mrpc,rte,ties,1.0,0.2,0.9553209188478694,0.9107142857142856,-0.027106057563664382
42,sst2+imdb,sst2,imdb,mean,1.0,,0.9670381647230042,0.9644970414201184,-0.0255114678899082
42,sst2+imdb,sst2,imdb,task_arithmetic,0.75,,0.9911242603550297,0.9822485207100592,-0.0068807339449541
42,sst2+imdb,sst2,imdb,ties,1.0,0.2,0.963386855862584,0.9423076923076924,-0.0283623853211009
42,sst2+mrpc,sst2,mrpc,mean,1.0,,0.9489960280196064,0.9127218934911242,-0.039979624845204294
42,sst2+mrpc,sst2,mrpc,task_arithmetic,0.75,,0.9926981012674871,0.9822485207100592,-0.005566653183096451
42,sst2+mrpc,sst2,mrpc,ties,1.0,0.2,0.9772607916594713,0.9585798816568049,-0.0177492869252302
42,sst2+rte,sst2,rte,mean,1.0,,0.8891236968160046,0.7544378698224852,-0.0879632696320339
42,sst2+rte,sst2,rte,task_arithmetic,0.75,,0.8993554522400676,0.8165680473372781,-0.07651607988606625
42,sst2+rte,sst2,rte,ties,1.0,0.2,0.8859714003944774,0.8136094674556213,-0.08488308548339005
123,imdb+mrpc,imdb,mrpc,mean,1.0,,0.91691241778926,0.8473380372033354,-0.06512500750561417
123,imdb+mrpc,imdb,mrpc,task_arithmetic,0.75,,0.8942108163194646,0.8056446440025657,-0.08291925351071688
123,imdb+mrpc,imdb,mrpc,ties,1.0,0.2,0.9539865588273054,0.9211032713277743,-0.036215559902975314
123,imdb+rte,imdb,rte,mean,1.0,,0.9004627508476131,0.8723540731237974,-0.07141064981949452
123,imdb+rte,imdb,rte,task_arithmetic,0.75,,0.8513680167384465,0.8396407953816549,-0.1040162454873646
123,imdb+rte,imdb,rte,ties,1.0,0.2,0.8943061028131587,0.8392857142857144,-0.06848646209386278
123,mrpc+rte,mrpc,rte,mean,1.0,,0.9206814918974198,0.8571428571428571,-0.049889832284668034
123,mrpc+rte,mrpc,rte,task_arithmetic,0.75,,0.9076276506696428,0.8214285714285714,-0.056721310959886306
123,mrpc+rte,mrpc,rte,ties,1.0,0.2,0.9150633550995025,0.8333333333333334,-0.05187630571278501
123,sst2+imdb,sst2,imdb,mean,1.0,,0.9821458750235258,0.9717767799871713,-0.013866972477064199
123,sst2+imdb,sst2,imdb,task_arithmetic,0.75,,0.9985044343641134,0.986529826812059,-0.0012362385321100233
123,sst2+imdb,sst2,imdb,ties,1.0,0.2,0.9838570133626269,0.9692110327132777,-0.012573394495412837
123,sst2+mrpc,sst2,mrpc,mean,1.0,,0.9255151283649219,0.8607784431137725,-0.05738346972263958
123,sst2+mrpc,sst2,mrpc,task_arithmetic,0.75,,0.9394308365597082,0.877245508982036,-0.04634560387723641
123,sst2+mrpc,sst2,mrpc,ties,1.0,0.2,0.9675893438816812,0.9416167664670659,-0.025042301009146672
123,sst2+rte,sst2,rte,mean,1.0,,0.8744831765041345,0.8263473053892215,-0.08997946543900903
123,sst2+rte,sst2,rte,task_arithmetic,0.75,,0.8662674650698603,0.815868263473054,-0.09579828105852345
123,sst2+rte,sst2,rte,ties,1.0,0.2,0.8910571713715427,0.886904761904762,-0.07443364355976545
