phase,seed,pair,task,method,schedule,score,specialist_score,retained
development,42,sst2+imdb,sst2,scope_ties,uniform,0.7305045871559633,0.7752293577981652,0.9423076923076923
development,42,sst2+imdb,imdb,scope_ties,uniform,0.7605,0.7725,0.9844660194174757
development,42,sst2+imdb,sst2,scope_ties,early_sparse,0.7144495412844036,0.7752293577981652,0.9215976331360947
development,42,sst2+imdb,imdb,scope_ties,early_sparse,0.745,0.7725,0.964401294498382
development,42,sst2+imdb,sst2,scope_ties,early_very_sparse,0.6880733944954128,0.7752293577981652,0.8875739644970414
development,42,sst2+imdb,imdb,scope_ties,early_very_sparse,0.7385,0.7725,0.9559870550161813
development,42,sst2+imdb,sst2,scope_ties,depth_progressive,0.7213302752293578,0.7752293577981652,0.930473372781065
development,42,sst2+imdb,imdb,scope_ties,depth_progressive,0.753,0.7725,0.9747572815533981
development,42,sst2+mrpc,sst2,scope_ties,uniform,0.7431192660550459,0.7752293577981652,0.9585798816568047
development,42,sst2+mrpc,mrpc,scope_ties,uniform,0.8315629742033384,0.8349514563106796,0.9959417016621378
development,42,sst2+mrpc,sst2,scope_ties,early_sparse,0.6926605504587156,0.7752293577981652,0.8934911242603549
development,42,sst2+mrpc,mrpc,scope_ties,early_sparse,0.8233532934131736,0.8349514563106796,0.9861091769948476
development,42,sst2+mrpc,sst2,scope_ties,early_very_sparse,0.6559633027522935,0.7752293577981652,0.846153846153846
development,42,sst2+mrpc,mrpc,scope_ties,early_very_sparse,0.8249258160237388,0.8349514563106796,0.9879925470981988
development,42,sst2+mrpc,sst2,scope_ties,depth_progressive,0.7018348623853211,0.7752293577981652,0.9053254437869822
development,42,sst2+mrpc,mrpc,scope_ties,depth_progressive,0.8258258258258259,0.8349514563106796,0.989070465814652
development,42,sst2+rte,sst2,scope_ties,uniform,0.6307339449541285,0.7752293577981652,0.8136094674556213
development,42,sst2+rte,rte,scope_ties,uniform,0.5812274368231047,0.6064981949458483,0.9583333333333335
development,42,sst2+rte,sst2,scope_ties,early_sparse,0.5997706422018348,0.7752293577981652,0.7736686390532544
development,42,sst2+rte,rte,scope_ties,early_sparse,0.6028880866425993,0.6064981949458483,0.9940476190476192
development,42,sst2+rte,sst2,scope_ties,early_very_sparse,0.5779816513761468,0.7752293577981652,0.7455621301775147
development,42,sst2+rte,rte,scope_ties,early_very_sparse,0.5992779783393501,0.6064981949458483,0.9880952380952381
development,42,sst2+rte,sst2,scope_ties,depth_progressive,0.6204128440366973,0.7752293577981652,0.8002958579881657
development,42,sst2+rte,rte,scope_ties,depth_progressive,0.5812274368231047,0.6064981949458483,0.9583333333333335
development,42,imdb+mrpc,imdb,scope_ties,uniform,0.749,0.7725,0.96957928802589
development,42,imdb+mrpc,mrpc,scope_ties,uniform,0.8221225710014948,0.8349514563106796,0.9846351722459763
development,42,imdb+mrpc,imdb,scope_ties,early_sparse,0.7375,0.7725,0.9546925566343043
development,42,imdb+mrpc,mrpc,scope_ties,early_sparse,0.8219584569732937,0.8349514563106796,0.9844386170726658
development,42,imdb+mrpc,imdb,scope_ties,early_very_sparse,0.717,0.7725,0.9281553398058252
development,42,imdb+mrpc,mrpc,scope_ties,early_very_sparse,0.8200589970501475,0.8349514563106796,0.9821636825135488
development,42,imdb+mrpc,imdb,scope_ties,depth_progressive,0.748,0.7725,0.968284789644013
development,42,imdb+mrpc,mrpc,scope_ties,depth_progressive,0.8214285714285714,0.8349514563106796,0.9838039867109635
development,42,imdb+rte,imdb,scope_ties,uniform,0.6355,0.7725,0.8226537216828479
development,42,imdb+rte,rte,scope_ties,uniform,0.51985559566787,0.6064981949458483,0.8571428571428571
development,42,imdb+rte,imdb,scope_ties,early_sparse,0.6215,0.7725,0.8045307443365697
development,42,imdb+rte,rte,scope_ties,early_sparse,0.5342960288808665,0.6064981949458483,0.880952380952381
development,42,imdb+rte,imdb,scope_ties,early_very_sparse,0.6035,0.7725,0.7812297734627832
development,42,imdb+rte,rte,scope_ties,early_very_sparse,0.5379061371841155,0.6064981949458483,0.886904761904762
development,42,imdb+rte,imdb,scope_ties,depth_progressive,0.6815,0.7725,0.882200647249191
development,42,imdb+rte,rte,scope_ties,depth_progressive,0.5306859205776173,0.6064981949458483,0.875
development,42,mrpc+rte,mrpc,scope_ties,uniform,0.8348909657320872,0.8349514563106796,0.9999275519814533
development,42,mrpc+rte,rte,scope_ties,uniform,0.5523465703971119,0.6064981949458483,0.9107142857142857
development,42,mrpc+rte,mrpc,scope_ties,early_sparse,0.8282208588957055,0.8349514563106796,0.991938935654159
development,42,mrpc+rte,rte,scope_ties,early_sparse,0.5270758122743683,0.6064981949458483,0.8690476190476192
development,42,mrpc+rte,mrpc,scope_ties,early_very_sparse,0.8292682926829268,0.8349514563106796,0.9931934203062961
development,42,mrpc+rte,rte,scope_ties,early_very_sparse,0.5234657039711191,0.6064981949458483,0.8630952380952381
development,42,mrpc+rte,mrpc,scope_ties,depth_progressive,0.8320493066255779,0.8349514563106796,0.9965241695631921
development,42,mrpc+rte,rte,scope_ties,depth_progressive,0.5270758122743683,0.6064981949458483,0.8690476190476192
