phase,seed,pair,task,method,schedule,score,specialist_score,retained
held_out,7,sst2+imdb,sst2,mean,not_applicable,0.7511467889908257,0.768348623853211,0.9776119402985074
held_out,7,sst2+imdb,imdb,mean,not_applicable,0.766,0.787,0.9733163913595934
held_out,7,sst2+imdb,sst2,ties,uniform,0.7580275229357798,0.768348623853211,0.9865671641791044
held_out,7,sst2+imdb,imdb,ties,uniform,0.7645,0.787,0.97141041931385
held_out,7,sst2+imdb,sst2,scope_ties,uniform,0.7580275229357798,0.768348623853211,0.9865671641791044
held_out,7,sst2+imdb,imdb,scope_ties,uniform,0.7645,0.787,0.97141041931385
held_out,7,sst2+mrpc,sst2,mean,not_applicable,0.7041284403669725,0.768348623853211,0.9164179104477612
held_out,7,sst2+mrpc,mrpc,mean,not_applicable,0.8245877061469266,0.8414442700156985,0.9799671059992393
held_out,7,sst2+mrpc,sst2,ties,uniform,0.7465596330275229,0.768348623853211,0.9716417910447761
held_out,7,sst2+mrpc,mrpc,ties,uniform,0.8277945619335347,0.8414442700156985,0.9837782387157866
held_out,7,sst2+mrpc,sst2,scope_ties,uniform,0.7465596330275229,0.768348623853211,0.9716417910447761
held_out,7,sst2+mrpc,mrpc,scope_ties,uniform,0.8277945619335347,0.8414442700156985,0.9837782387157866
held_out,7,sst2+rte,sst2,mean,not_applicable,0.6903669724770642,0.768348623853211,0.8985074626865672
held_out,7,sst2+rte,rte,mean,not_applicable,0.5379061371841155,0.5956678700361011,0.903030303030303
held_out,7,sst2+rte,sst2,ties,uniform,0.6811926605504587,0.768348623853211,0.8865671641791044
held_out,7,sst2+rte,rte,ties,uniform,0.5234657039711191,0.5956678700361011,0.8787878787878788
held_out,7,sst2+rte,sst2,scope_ties,uniform,0.6811926605504587,0.768348623853211,0.8865671641791044
held_out,7,sst2+rte,rte,scope_ties,uniform,0.5234657039711191,0.5956678700361011,0.8787878787878788
held_out,7,imdb+mrpc,imdb,mean,not_applicable,0.735,0.787,0.9339263024142312
held_out,7,imdb+mrpc,mrpc,mean,not_applicable,0.8230088495575221,0.8414442700156985,0.9780907409853388
held_out,7,imdb+mrpc,imdb,ties,uniform,0.7705,0.787,0.9790343074968233
held_out,7,imdb+mrpc,mrpc,ties,uniform,0.8207407407407408,0.8414442700156985,0.975395245992261
held_out,7,imdb+mrpc,imdb,scope_ties,uniform,0.7705,0.787,0.9790343074968233
held_out,7,imdb+mrpc,mrpc,scope_ties,uniform,0.8207407407407408,0.8414442700156985,0.975395245992261
held_out,7,imdb+rte,imdb,mean,not_applicable,0.711,0.787,0.9034307496823379
held_out,7,imdb+rte,rte,mean,not_applicable,0.5126353790613718,0.5956678700361011,0.8606060606060605
held_out,7,imdb+rte,imdb,ties,uniform,0.7225,0.787,0.9180432020330368
held_out,7,imdb+rte,rte,ties,uniform,0.516245487364621,0.5956678700361011,0.8666666666666667
held_out,7,imdb+rte,imdb,scope_ties,uniform,0.7225,0.787,0.9180432020330368
held_out,7,imdb+rte,rte,scope_ties,uniform,0.516245487364621,0.5956678700361011,0.8666666666666667
held_out,7,mrpc+rte,mrpc,mean,not_applicable,0.8217967599410898,0.8414442700156985,0.9766502538852131
held_out,7,mrpc+rte,rte,mean,not_applicable,0.516245487364621,0.5956678700361011,0.8666666666666667
held_out,7,mrpc+rte,mrpc,ties,uniform,0.8207407407407408,0.8414442700156985,0.975395245992261
held_out,7,mrpc+rte,rte,ties,uniform,0.5234657039711191,0.5956678700361011,0.8787878787878788
held_out,7,mrpc+rte,mrpc,scope_ties,uniform,0.8207407407407408,0.8414442700156985,0.975395245992261
held_out,7,mrpc+rte,rte,scope_ties,uniform,0.5234657039711191,0.5956678700361011,0.8787878787878788
held_out,123,sst2+imdb,sst2,mean,not_applicable,0.7603211009174312,0.7660550458715596,0.9925149700598803
held_out,123,sst2+imdb,imdb,mean,not_applicable,0.7575,0.7795,0.9717767799871713
held_out,123,sst2+imdb,sst2,ties,uniform,0.7649082568807339,0.7660550458715596,0.9985029940119761
held_out,123,sst2+imdb,imdb,ties,uniform,0.7555,0.7795,0.9692110327132777
held_out,123,sst2+imdb,sst2,scope_ties,uniform,0.7649082568807339,0.7660550458715596,0.9985029940119761
