seed,pair,scope_ties,ties,delta
7,imdb+mrpc,0.9772147767445422,0.9772147767445422,0.0
7,imdb+rte,0.8923549343498518,0.8923549343498518,0.0
7,mrpc+rte,0.92709156239007,0.92709156239007,0.0
7,sst2+imdb,0.9789887917464772,0.9789887917464772,0.0
7,sst2+mrpc,0.9777100148802813,0.9777100148802813,0.0
7,sst2+rte,0.8826775214834917,0.8826775214834917,0.0
123,imdb+mrpc,0.9539865588273054,0.9539865588273054,0.0
123,imdb+rte,0.8943061028131587,0.8943061028131587,0.0
123,mrpc+rte,0.9150633550995025,0.9150633550995025,0.0
123,sst2+imdb,0.9838570133626269,0.9838570133626269,0.0
123,sst2+mrpc,0.9675893438816812,0.9675893438816812,0.0
123,sst2+rte,0.8910571713715427,0.8910571713715427,0.0
